,entity,code,year,youth_literacy_rate__population_15_24_years__male__pct__lr_ag15t24_m,youth_literacy_rate__population_15_24_years__female__pct__lr_ag15t24_f,owid_region
465,Eastern and South-Eastern Asia (SDG),,1991,96.54,92.49,
466,Eastern and South-Eastern Asia (SDG),,1992,96.57,92.81,
467,Eastern and South-Eastern Asia (SDG),,1993,96.59,93.07,
468,Eastern and South-Eastern Asia (SDG),,1994,96.7,93.48,
469,Eastern and South-Eastern Asia (SDG),,1995,96.83,93.89,
470,Eastern and South-Eastern Asia (SDG),,1996,96.93,94.21,
471,Eastern and South-Eastern Asia (SDG),,1997,98.17,97.13,
472,Eastern and South-Eastern Asia (SDG),,1998,98.19,97.24,
473,Eastern and South-Eastern Asia (SDG),,1999,98.2,97.38,
474,Eastern and South-Eastern Asia (SDG),,2000,98.24,97.39,
475,Eastern and South-Eastern Asia (SDG),,2001,98.24,97.51,
476,Eastern and South-Eastern Asia (SDG),,2002,98.29,97.65,
477,Eastern and South-Eastern Asia (SDG),,2003,98.36,97.87,
478,Eastern and South-Eastern Asia (SDG),,2004,98.45,98.0,
479,Eastern and South-Eastern Asia (SDG),,2005,98.51,98.13,
480,Eastern and South-Eastern Asia (SDG),,2006,98.34,97.95,
481,Eastern and South-Eastern Asia (SDG),,2007,98.69,98.36,
482,Eastern and South-Eastern Asia (SDG),,2008,99.01,98.78,
483,Eastern and South-Eastern Asia (SDG),,2009,98.94,98.77,
