,entity,code,year,adult_literacy_rate__population_15plus_years__both_sexes__pct__lr_ag15t99
489,Ethiopia,ETH,2013,48.354973
490,Ethiopia,ETH,2016,47.49
491,Ethiopia,ETH,2019,55.05
492,Ethiopia,ETH,2021,54.88537
493,Ethiopia,ETH,2022,60.46
494,Europe and Central Asia (WB),WB_ECA,1994,95.8
495,Europe and Central Asia (WB),WB_ECA,1995,95.95
496,Europe and Central Asia (WB),WB_ECA,1996,96.13
497,Europe and Central Asia (WB),WB_ECA,1997,96.26
498,Europe and Central Asia (WB),WB_ECA,1998,96.42
499,Europe and Central Asia (WB),WB_ECA,1999,96.54
500,Europe and Central Asia (WB),WB_ECA,2000,96.64
501,Europe and Central Asia (WB),WB_ECA,2002,96.9
502,Europe and Central Asia (WB),WB_ECA,2003,96.99
503,Europe and Central Asia (WB),WB_ECA,2004,97.07
504,Europe and Central Asia (WB),WB_ECA,2005,97.19
505,Europe and Central Asia (WB),WB_ECA,2006,97.25
506,Europe and Central Asia (WB),WB_ECA,2007,97.33
507,Europe and Central Asia (WB),WB_ECA,2008,97.45
508,Europe and Central Asia (WB),WB_ECA,2009,97.71
509,Europe and Central Asia (WB),WB_ECA,2010,97.87
510,Europe and Central Asia (WB),WB_ECA,2011,98.02
511,Europe and Central Asia (WB),WB_ECA,2012,98.12
512,Europe and Central Asia (WB),WB_ECA,2013,98.18
513,Europe and Central Asia (WB),WB_ECA,2014,98.22
514,Europe and Central Asia (WB),WB_ECA,2015,98.27
515,Europe and Central Asia (WB),WB_ECA,2016,98.33
516,Europe and Central Asia (WB),WB_ECA,2017,98.41
517,Europe and Central Asia (WB),WB_ECA,2018,98.5
518,Europe and Central Asia (WB),WB_ECA,2019,98.57
519,Europe and Central Asia (WB),WB_ECA,2020,98.61
520,Europe and Central Asia (WB),WB_ECA,2021,98.74
521,Europe and Central Asia (WB),WB_ECA,2022,98.75
522,Europe and Central Asia (WB),WB_ECA,2023,98.77
523,Europe and Northern America (SDG),,2003,97.91
524,Europe and Northern America (SDG),,2004,97.97
525,Europe and Northern America (SDG),,2005,98.02
526,Europe and Northern America (SDG),,2006,98.09
527,Europe and Northern America (SDG),,2018,98.62
528,Europe and Northern America (SDG),,2019,98.65
529,Europe and Northern America (SDG),,2020,98.67
530,Europe and Northern America (SDG),,2021,98.78
531,Europe and Northern America (SDG),,2022,98.78
532,French Guiana,GUF,1982,82.92
533,Gabon,GAB,1993,72.23
534,Gabon,GAB,2021,88.86
535,Gambia,GMB,2000,36.82
536,Gambia,GMB,2015,50.78
537,Gambia,GMB,2018,53.16
538,Gambia,GMB,2021,51.64
539,Georgia,GEO,2002,99.65
540,Georgia,GEO,2014,99.59
541,Georgia,GEO,2017,99.36
542,Georgia,GEO,2018,99.65
543,Georgia,GEO,2019,99.87572
544,Georgia,GEO,2020,99.89307
545,Georgia,GEO,2021,99.91808
546,Georgia,GEO,2022,99.57
547,Georgia,GEO,2023,99.56
548,Georgia,GEO,2024,99.68
549,Ghana,GHA,2000,57.9
550,Ghana,GHA,2010,71.5
551,Ghana,GHA,2015,60.198105
552,Ghana,GHA,2017,64.49
553,Ghana,GHA,2021,76.49
