,entity,code,year,illiteracy_rate,literacy_rate
600,Europe and Central Asia (WB),WB_ECA,2013,1.8199997,98.18
601,Europe and Central Asia (WB),WB_ECA,2014,1.7799988,98.22
602,Europe and Central Asia (WB),WB_ECA,2015,1.7300034,98.27
603,Europe and Central Asia (WB),WB_ECA,2016,1.6699982,98.33
604,Europe and Central Asia (WB),WB_ECA,2017,1.5899963,98.41
605,Europe and Central Asia (WB),WB_ECA,2018,1.5,98.5
606,Europe and Central Asia (WB),WB_ECA,2019,1.4300003,98.57
607,Europe and Central Asia (WB),WB_ECA,2020,1.3899994,98.61
608,Europe and Central Asia (WB),WB_ECA,2021,1.2600021,98.74
609,Europe and Central Asia (WB),WB_ECA,2022,1.25,98.75
610,Europe and Central Asia (WB),WB_ECA,2023,1.2300034,98.77
644,Gabon,GAB,1993,27.769997,72.23
645,Gabon,GAB,2021,11.139999,88.86
647,Gambia,GMB,2000,63.18,36.82
648,Gambia,GMB,2015,49.22,50.78
649,Gambia,GMB,2018,46.84,53.16
650,Gambia,GMB,2021,48.36,51.64
651,Georgia,GEO,2002,0.34999847,99.65
652,Georgia,GEO,2014,0.41000366,99.59
653,Georgia,GEO,2017,0.6399994,99.36
654,Georgia,GEO,2018,0.34999847,99.65
655,Georgia,GEO,2019,0.12428284,99.87572
656,Georgia,GEO,2020,0.106933594,99.89307
657,Georgia,GEO,2021,0.08191681,99.91808
658,Georgia,GEO,2022,0.4300003,99.57
659,Georgia,GEO,2023,0.44000244,99.56
660,Georgia,GEO,2024,0.3199997,99.68
667,Ghana,GHA,2000,42.1,57.9
668,Ghana,GHA,2010,28.5,71.5
669,Ghana,GHA,2015,39.801895,60.198105
670,Ghana,GHA,2017,35.510002,64.49
671,Ghana,GHA,2021,23.510002,76.49
678,Greece,GRC,1991,7.3899994,92.61
679,Greece,GRC,2001,4.010002,95.99
680,Greece,GRC,2009,6.0899963,93.91
688,Guam,GUM,1990,0.62999725,99.37
690,Guatemala,GTM,1994,35.79,64.21
691,Guatemala,GTM,2002,30.900002,69.1
692,Guatemala,GTM,2012,21.739998,78.26
693,Guatemala,GTM,2013,22.96,77.04
694,Guatemala,GTM,2014,18.71,81.29
695,Guatemala,GTM,2015,19.800003,80.2
696,Guatemala,GTM,2018,19.190002,80.81
697,Guatemala,GTM,2022,16.970001,83.03
698,Guatemala,GTM,2023,16.980423,83.01958
699,Guatemala,GTM,2024,17.89,82.11
700,Guinea,GIN,1996,79.45,20.55
701,Guinea,GIN,2003,70.3,29.7
702,Guinea,GIN,2010,74.69,25.31
703,Guinea,GIN,2014,68.0,32.0
704,Guinea,GIN,2018,60.38,39.62
707,Guinea-Bissau,GNB,2000,58.64,41.36
708,Guinea-Bissau,GNB,2019,45.12,54.88
709,Guinea-Bissau,GNB,2022,36.07,63.93
711,Guyana,GUY,2020,14.360001,85.64
714,Haiti,HTI,2003,41.26,58.74
715,Haiti,HTI,2012,26.046661,73.95334
716,Haiti,HTI,2017,31.989998,68.01
717,High-income countries,OWID_HIC,2020,2.290001,97.71
724,Honduras,HND,2001,19.989998,80.01
725,Honduras,HND,2007,16.410004,83.59
726,Honduras,HND,2010,15.239998,84.76
727,Honduras,HND,2011,14.879997,85.12
728,Honduras,HND,2012,14.639999,85.36
729,Honduras,HND,2013,14.540001,85.46
730,Honduras,HND,2014,12.800003,87.2
731,Honduras,HND,2015,12.089996,87.91
732,Honduras,HND,2016,11.010002,88.99
733,Honduras,HND,2018,12.790001,87.21
734,Honduras,HND,2019,11.489998,88.51
735,Honduras,HND,2022,11.780724,88.21928
736,Honduras,HND,2023,12.910004,87.09
737,Honduras,HND,2024,11.75,88.25
753,India,IND,1991,51.78,48.22
754,India,IND,2001,38.99,61.01
755,India,IND,2006,37.25,62.75
756,India,IND,2010,31.67418,68.32582
757,India,IND,2011,30.699997,69.3
758,India,IND,2012,30.172073,69.82793
759,India,IND,2018,26.311646,73.688354
760,India,IND,2019,25.10614,74.89386
761,India,IND,2020,24.472939,75.52706
762,India,IND,2021,23.940338,76.05966
763,India,IND,2022,23.68,76.32
764,India,IND,2023,18.300003,81.7
765,India,IND,2024,21.837463,78.16254
768,Indonesia,IDN,1990,18.480003,81.52
769,Indonesia,IDN,2004,9.620003,90.38
770,Indonesia,IDN,2006,8.019997,91.98
771,Indonesia,IDN,2008,7.8099976,92.19
772,Indonesia,IDN,2009,7.419998,92.58
773,Indonesia,IDN,2010,7.6800003,92.32
774,Indonesia,IDN,2011,7.1900024,92.81
775,Indonesia,IDN,2014,4.8799973,95.12
776,Indonesia,IDN,2015,4.779999,95.22
777,Indonesia,IDN,2016,4.6200027,95.38
778,Indonesia,IDN,2018,4.3399963,95.66
779,Indonesia,IDN,2020,4.0,96.0
783,Iran,IRN,1991,34.47,65.53
784,Iran,IRN,1996,26.940002,73.06
785,Iran,IRN,2002,23.0,77.0
786,Iran,IRN,2005,17.559998,82.44
787,Iran,IRN,2006,17.669998,82.33
788,Iran,IRN,2008,17.04,82.96
789,Iran,IRN,2009,16.777763,83.22224
790,Iran,IRN,2010,16.335335,83.664665
791,Iran,IRN,2011,16.480003,83.52
792,Iran,IRN,2012,16.370003,83.63
793,Iran,IRN,2013,15.370003,84.63
794,Iran,IRN,2014,15.290001,84.71
795,Iran,IRN,2015,14.716568,85.28343
796,Iran,IRN,2016,14.459999,85.54
797,Iran,IRN,2017,14.053207,85.94679
798,Iran,IRN,2018,13.131165,86.868835
799,Iran,IRN,2019,12.62117,87.37883
800,Iran,IRN,2020,12.097176,87.902824
801,Iran,IRN,2021,11.544403,88.4556
802,Iran,IRN,2022,11.405769,88.59423
803,Iran,IRN,2023,11.083183,88.91682
805,Iraq,IRQ,2000,25.949997,74.05
806,Iraq,IRQ,2012,22.800003,77.2
807,Iraq,IRQ,2014,17.800003,82.2
808,Iraq,IRQ,2016,16.699997,83.3
809,Iraq,IRQ,2017,14.400002,85.6
810,Iraq,IRQ,2021,15.935104,84.064896
829,Italy,ITA,2001,1.5800018,98.42
830,Italy,ITA,2011,1.1500015,98.85
831,Italy,ITA,2019,0.6500015,99.35
833,Jamaica,JAM,1999,20.080002,79.92
837,Jordan,JOR,2003,10.110001,89.89
